Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,InterestScore,NumWeightVotes,log_NumWeightVotes,PlaytimeComAvg,NumUserRatings,log_NumUserRatings,NumAlternates,NumAlternates_log,NumExpansions,NumExpansions_log,NumImplementations,NumImplementations_log,IsReimplementation,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,InterestScore_log
PARKS Memories: Mountaineer,2021,1.5,2,8,10.0,340.6666666666667,2,1.0986122886681098,30.0,150,5.017279836814924,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,5.833835602904399
Cleopatra and the Society of Architects: Deluxe Edition,2020,2.2,2,4,8.0,728.3333333333334,10,2.3978952727983707,60.0,385,5.955837369464831,2,1.0986122886681098,4,1.6094379124341003,1,0.6931471805599453,1,1,0,0,0,0,0,0,0,0,3,6.592130874873762
The Last Bottle of Rum,2021,2.0,2,5,9.0,200.0,6,1.9459101490553132,52.5,167,5.123963979403259,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,3,5.303304908059076
Minigolf Designer,2020,2.2222,1,5,10.0,231.66666666666666,9,2.302585092994046,75.0,185,5.225746673713202,1,0.6931471805599453,1,0.6931471805599453,0,0.0,0,1,0,0,0,0,0,0,0,0,3,5.449606814094262
San Guo Sha: Kingdom Wars,2012,2.0,2,12,14.0,37.0,5,1.791759469228055,30.0,74,4.31748811353631,1,0.6931471805599453,0,0.0,2,1.0986122886681098,1,0,0,0,0,0,0,0,0,0,2,3.6375861597263857
My Little Scythe,2017,1.9778,1,6,6.462686567164179,3960.3333333333335,90,4.51085950651685,52.5,4370,8.382747094863314,4,1.6094379124341003,1,0.6931471805599453,1,0.6931471805599453,1,0,0,0,0,1,0,0,0,0,3,8.28433594791439
Space Marine Adventures: Rise of the Orks,2020,2.0,1,5,9.333333333333334,110.0,4,1.6094379124341003,30.0,56,4.04305126783455,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,4.709530201312334
Code Name: Sector,1977,1.75,1,4,10.0,79.33333333333333,8,2.1972245773362196,30.0,87,4.477336814478207,2,1.0986122886681098,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,4.386184644822546
DC Comics Dice Masters: War of Light – Collector's Box,2015,2.0,2,4,10.0,50.666666666666664,0,0.0,45.0,32,3.4965075614664802,0,0.0,0,0.0,1,0.6931471805599453,1,0,0,0,0,0,0,0,0,0,3,3.9448128282511368
Frenzy,2003,1.1818,2,2,10.0,195.33333333333334,33,3.5263605246161616,20.0,215,5.375278407684165,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,5.279813894983477
Cat Chaos Card Game: Celebrity Edition,2017,1.0,2,8,10.0,82.0,1,0.6931471805599453,12.5,61,4.127134385045092,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,4.418840607796598
Huns,2018,2.125,2,4,11.6,534.0,24,3.2188758248682006,37.5,642,6.466144724237619,4,1.6094379124341003,1,0.6931471805599453,1,0.6931471805599453,1,0,0,0,0,0,0,0,0,0,2,6.282266746896006
Peppers of the Caribbean,2018,1.0,2,4,10.0,47.666666666666664,1,0.6931471805599453,30.0,61,4.127134385045092,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3.884994333040227
Wizards of the Wild,2015,2.0,1,4,10.0,216.0,22,3.1354942159291497,30.0,299,5.703782474656201,0,0.0,1,0.6931471805599453,1,0.6931471805599453,0,1,0,0,0,0,0,0,0,0,2,5.37989735354046
Al Rashid,2012,3.4615,2,5,14.0,230.0,26,3.295836866004329,100.0,374,5.926926025970411,0,0.0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,2,5.442417710521793
Anno Domini: Essen & Trinken,2016,2.0,2,8,10.0,39.333333333333336,0,0.0,30.0,33,3.5263605246161616,0,0.0,0,0.0,1,0.6931471805599453,1,0,0,0,0,0,0,0,0,0,2,3.6971782569286313
Hungry Hungry Hipsters,2012,1.0,2,8,12.0,21.666666666666668,4,1.6094379124341003,30.0,40,3.713572066704308,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3.120895416507997
Risky Strategy,1991,1.0,2,6,10.0,47.0,1,0.6931471805599453,45.0,47,3.871201010907891,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.871201010907891
